source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at,price_num,size_num,bedrooms_num,bathrooms_num,price_per_sqm,bed_bath_ratio
Property24,Sale,,KSh 10 757 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926394,2026-02-17T14:48:58.502305,10.0,,,,,
Property24,Sale,,KSh 21 714 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926459,2026-02-17T14:48:58.507363,21.0,,,,,
Property24,Sale,,KSh 21 714 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926577,2026-02-17T14:48:58.510977,21.0,,,,,
Property24,Sale,,KSh 21 714 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926422,2026-02-17T14:48:58.514998,21.0,,,,,
Property24,Sale,,KSh 27 500 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116926603,2026-02-17T14:48:58.518388,27.0,,,,,
Property24,Sale,,KSh 35 000 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-westlands-116926565,2026-02-17T14:48:58.522274,35.0,,,,,
Property24,Sale,,KSh 7 749 000,"School Ln Spring Valley, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116926518,2026-02-17T14:48:58.528426,7.0,,,,,
Property24,Sale,,KSh 12 000 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926390,2026-02-17T14:48:58.531447,12.0,,,,,
Property24,Sale,,KSh 10 000 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930236,2026-02-17T14:48:58.535773,10.0,,,,,
Property24,Sale,,KSh 5 500 000,"Kilimani Estate Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/apartment-flat-for-sale-in-kilimani-116924922,2026-02-17T14:48:58.539542,5.0,,,,,
