source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
Property24,Sale,,KSh 14 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930365,2026-02-17T14:48:50.237700
Property24,Sale,,KSh 9 700 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930428,2026-02-17T14:48:50.258467
Property24,Sale,,KSh 11 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930412,2026-02-17T14:48:50.278975
Property24,Sale,,KSh 12 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930393,2026-02-17T14:48:50.300078
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931390,2026-02-17T14:48:50.314794
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931375,2026-02-17T14:48:50.328757
Property24,Sale,,KSh 9 210 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931358,2026-02-17T14:48:50.336200
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931342,2026-02-17T14:48:50.350417
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931337,2026-02-17T14:48:50.353694
Property24,Sale,,KSh 7 150 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931318,2026-02-17T14:48:50.365569
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931274,2026-02-17T14:48:50.369100
Property24,Sale,,KSh 5 110 000,"Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116931260,2026-02-17T14:48:50.378884
Property24,Sale,,KSh 26 500 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116930331,2026-02-17T14:48:50.385247
Property24,Sale,,KSh 28 200 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-116930326,2026-02-17T14:48:50.389578
Property24,Sale,,KSh 15 800 000,"Riara Rd Maziwa, Kilimani, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116930355,2026-02-17T14:48:50.401540
Property24,Sale,,KSh 13 600 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-101739083,2026-02-17T14:48:50.404804
Property24,Sale,,KSh 27 500 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116933194,2026-02-17T14:48:50.414751
Property24,Sale,,KSh 27 500 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116933098,2026-02-17T14:48:50.418119
Property24,Sale,,KSh 13 600 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930230,2026-02-17T14:48:50.421567
Property24,Sale,,KSh 21 000 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-116931022,2026-02-17T14:48:50.429263
Property24,Sale,,KSh 15 600 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-116930220,2026-02-17T14:48:50.435683
Property24,Sale,,KSh 21 000 000,"Riverside Dr Nairobi, Riverside, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-116930216,2026-02-17T14:48:58.443168
Property24,Sale,,KSh 14 000 000,"Matundu Lane Spring Valley, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116927119,2026-02-17T14:48:58.461842
Property24,Sale,,KSh 8 800 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116926536,2026-02-17T14:48:58.479461
Property24,Sale,,KSh 10 757 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926407,2026-02-17T14:48:58.485250
Property24,Sale,,KSh 10 757 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926404,2026-02-17T14:48:58.494879
Property24,Sale,,KSh 12 000 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-101757500,2026-02-17T14:48:58.499257
Property24,Sale,,KSh 10 757 000,"Muthithi Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926394,2026-02-17T14:48:58.502305
